time,open,high,low,close,tick_volume,spread,real_volume
2026-04-22 01:15:00,4721.76,4721.83,4716.65,4719.11,1277,19,0
2026-04-22 01:30:00,4719.11,4719.7,4716.13,4716.98,1100,20,0
2026-04-22 01:45:00,4716.9,4720.06,4715.58,4719.62,1231,19,0
2026-04-22 02:00:00,4719.47,4729.71,4718.12,4727.47,1841,12,0
2026-04-22 02:15:00,4727.47,4733.18,4726.27,4730.01,1608,11,0
2026-04-22 02:30:00,4730.01,4733.82,4729.1,4731.69,1269,11,0
2026-04-22 02:45:00,4731.64,4740.63,4731.51,4738.06,1968,11,0
2026-04-22 03:00:00,4738.06,4747.34,4738.06,4742.89,2474,11,0
2026-04-22 03:15:00,4742.87,4745.82,4740.56,4742.48,2052,11,0
2026-04-22 03:30:00,4742.48,4747.08,4741.52,4742.18,2072,11,0
2026-04-22 03:45:00,4742.18,4746.76,4738.61,4739.88,2058,11,0
2026-04-22 04:00:00,4739.84,4745.15,4735.96,4738.32,3968,14,0
2026-04-22 04:15:00,4738.32,4749.04,4737.88,4746.47,2791,11,0
2026-04-22 04:30:00,4746.47,4753.84,4746.42,4749.53,3563,11,0
2026-04-22 04:45:00,4749.53,4754.62,4747.96,4752.25,3090,11,0
2026-04-22 05:00:00,4752.25,4756.21,4750.2,4755.7,2897,11,0
2026-04-22 05:15:00,4755.69,4758.17,4753.61,4755.67,1439,11,0
2026-04-22 05:30:00,4755.67,4758.71,4751.48,4751.48,2359,11,0
2026-04-22 05:45:00,4751.48,4757.13,4751.04,4755.74,1754,11,0
2026-04-22 06:00:00,4755.75,4761.14,4753.06,4757.52,1961,11,0
2026-04-22 06:15:00,4757.52,4763.37,4756.73,4763.2,1761,11,0
2026-04-22 06:30:00,4763.18,4764.97,4756.99,4759.29,1835,11,0
2026-04-22 06:45:00,4759.29,4760.68,4757.11,4758.14,1402,11,0
2026-04-22 07:00:00,4758.14,4759.68,4756.86,4757.41,897,11,0
2026-04-22 07:15:00,4757.41,4757.81,4754.5,4755.88,1516,11,0
2026-04-22 07:30:00,4755.88,4757.36,4752.75,4756.45,1201,11,0
2026-04-22 07:45:00,4756.45,4759.49,4752.16,4754.57,1722,11,0
2026-04-22 08:00:00,4754.6,4757.02,4752.21,4756.95,1293,11,0
2026-04-22 08:15:00,4756.97,4771.59,4756.35,4766.12,3937,11,0
2026-04-22 08:30:00,4766.11,4769.28,4763.87,4767.29,2853,14,0
2026-04-22 08:45:00,4767.29,4771.98,4764.27,4767.64,2894,13,0
2026-04-22 09:00:00,4767.64,4767.84,4758.9,4762.7,3143,11,0
2026-04-22 09:15:00,4762.69,4767.25,4760.48,4767.08,2408,11,0
2026-04-22 09:30:00,4766.93,4767.78,4763.75,4763.75,2566,11,0
2026-04-22 09:45:00,4763.75,4767.84,4763.34,4767.72,2261,11,0
2026-04-22 10:00:00,4767.7,4772.31,4765.39,4765.69,2672,11,0
2026-04-22 10:15:00,4765.69,4767.99,4762.57,4766.13,2522,11,0
2026-04-22 10:30:00,4766.13,4766.65,4762.1,4763.84,2191,11,0
2026-04-22 10:45:00,4763.85,4764.43,4759.65,4760.61,2363,11,0
2026-04-22 11:00:00,4760.61,4762.3,4757.8,4758.0,2809,11,0
2026-04-22 11:15:00,4758.0,4759.93,4754.17,4754.19,2873,11,0
2026-04-22 11:30:00,4754.23,4757.04,4751.92,4756.05,2737,11,0
2026-04-22 11:45:00,4756.07,4758.4,4753.92,4757.11,2253,11,0
2026-04-22 12:00:00,4757.1,4761.83,4756.74,4760.69,2793,11,0
2026-04-22 12:15:00,4760.68,4761.93,4756.41,4756.41,2248,11,0
2026-04-22 12:30:00,4756.4,4762.48,4755.1,4758.44,2275,11,0
2026-04-22 12:45:00,4758.44,4759.08,4752.5,4755.2,2455,11,0
2026-04-22 13:00:00,4755.21,4757.69,4745.88,4748.6,3182,11,0
2026-04-22 13:15:00,4748.46,4756.1,4748.44,4754.78,2276,11,0
2026-04-22 13:30:00,4754.78,4759.61,4753.78,4756.56,2144,11,0
2026-04-22 13:45:00,4756.56,4760.15,4755.23,4759.25,1986,11,0
2026-04-22 14:00:00,4759.44,4760.5,4756.58,4757.28,2394,11,0
2026-04-22 14:15:00,4757.28,4760.8,4756.54,4757.4,2469,11,0
2026-04-22 14:30:00,4757.4,4759.97,4748.49,4748.69,2937,11,0
2026-04-22 14:45:00,4748.69,4753.36,4747.93,4750.43,2933,11,0
2026-04-22 15:00:00,4750.43,4757.46,4749.73,4752.3,2677,11,0
2026-04-22 15:15:00,4752.29,4760.09,4747.24,4753.18,3307,11,0
2026-04-22 15:30:00,4753.18,4754.35,4745.74,4746.8,4009,11,0
2026-04-22 15:45:00,4746.8,4748.41,4742.91,4744.26,3411,11,0
2026-04-22 16:00:00,4744.3,4750.85,4739.21,4742.35,4836,11,0
2026-04-22 16:15:00,4742.55,4750.16,4736.49,4750.12,4985,11,0
2026-04-22 16:30:00,4750.47,4756.58,4742.1,4755.36,6662,11,0
2026-04-22 16:45:00,4755.4,4760.93,4750.9,4752.96,5740,11,0
2026-04-22 17:00:00,4752.96,4757.59,4742.45,4745.53,5626,11,0
2026-04-22 17:15:00,4745.58,4750.72,4743.23,4743.94,5258,11,0
2026-04-22 17:30:00,4744.23,4744.66,4730.08,4733.2,6202,11,0
2026-04-22 17:45:00,4733.06,4739.69,4732.41,4735.95,5218,11,0
2026-04-22 18:00:00,4735.97,4740.15,4734.29,4737.64,5438,11,0
2026-04-22 18:15:00,4737.63,4737.65,4729.8,4735.2,4618,11,0
2026-04-22 18:30:00,4735.2,4735.6,4726.02,4727.32,4532,11,0
2026-04-22 18:45:00,4727.2,4731.36,4725.0,4727.66,4097,11,0
2026-04-22 19:00:00,4727.71,4734.93,4725.82,4730.24,3864,11,0
2026-04-22 19:15:00,4730.24,4730.43,4724.18,4727.05,3204,11,0
2026-04-22 19:30:00,4727.05,4732.15,4724.02,4728.12,3474,11,0
2026-04-22 19:45:00,4728.08,4730.85,4726.35,4728.67,3167,11,0
2026-04-22 20:00:00,4728.85,4739.62,4728.6,4735.31,4060,11,0
2026-04-22 20:15:00,4735.28,4737.73,4732.89,4735.18,2818,11,0
2026-04-22 20:30:00,4735.32,4738.18,4734.39,4736.16,2426,11,0
2026-04-22 20:45:00,4736.16,4738.42,4733.55,4737.28,3005,11,0
2026-04-22 21:00:00,4737.28,4738.7,4735.03,4735.86,1743,11,0
2026-04-22 21:15:00,4735.62,4736.05,4729.89,4730.3,2453,11,0
2026-04-22 21:30:00,4730.31,4739.54,4730.22,4739.43,2061,11,0
2026-04-22 21:45:00,4739.43,4749.77,4738.69,4741.8,2924,11,0
2026-04-22 22:00:00,4741.8,4743.57,4736.95,4738.54,3242,11,0
2026-04-22 22:15:00,4738.55,4745.42,4738.18,4744.46,2263,11,0
2026-04-22 22:30:00,4744.7,4744.76,4738.6,4739.3,2150,11,0
2026-04-22 22:45:00,4739.3,4741.97,4737.09,4740.23,3298,11,0
2026-04-22 23:00:00,4740.32,4740.47,4734.89,4736.14,2061,11,0
2026-04-22 23:15:00,4736.02,4737.73,4734.45,4736.9,1398,11,0
2026-04-22 23:30:00,4736.9,4739.5,4735.91,4737.31,1242,11,0
2026-04-22 23:45:00,4737.31,4740.35,4736.96,4739.96,1204,11,0
2026-04-23 01:00:00,4740.05,4746.09,4736.13,4736.41,1744,17,0
2026-04-23 01:15:00,4736.41,4738.29,4732.51,4732.87,1248,17,0
2026-04-23 01:30:00,4732.88,4735.16,4729.82,4729.9,1385,19,0
2026-04-23 01:45:00,4729.89,4731.94,4725.76,4725.97,1363,11,0
2026-04-23 02:00:00,4726.08,4728.39,4723.56,4725.97,1401,11,0
2026-04-23 02:15:00,4725.97,4729.93,4725.44,4728.26,1053,11,0
2026-04-23 02:30:00,4728.28,4728.29,4723.92,4724.42,910,11,0
2026-04-23 02:45:00,4724.42,4729.18,4724.42,4727.81,1214,11,0
2026-04-23 03:00:00,4727.91,4728.26,4698.61,4699.39,4230,14,0
2026-04-23 03:15:00,4699.42,4742.41,4694.21,4741.57,6671,15,0
2026-04-23 03:30:00,4741.53,4751.74,4741.23,4744.76,4760,12,0
2026-04-23 03:45:00,4744.79,4753.85,4743.55,4747.9,3736,13,0
2026-04-23 04:00:00,4747.72,4749.9,4735.96,4736.92,4450,11,0
2026-04-23 04:15:00,4736.92,4738.49,4727.14,4728.2,3842,11,0
2026-04-23 04:30:00,4728.26,4735.64,4725.91,4733.64,4177,11,0
2026-04-23 04:45:00,4733.64,4736.84,4722.46,4723.23,4514,12,0
2026-04-23 05:00:00,4723.23,4724.73,4706.66,4707.36,4696,11,0
2026-04-23 05:15:00,4707.31,4718.05,4704.79,4713.99,4452,11,0
